10.228.76.117 qs2-kdr-trudo12-p3 Трудовой Славы, д. 12
10.228.76.62 d1-kdr-trudo50-p2 Трудовой Славы, д. 50
10.228.76.24 d2-kdr-trudo23-p3 Трудовой Славы, д. 23
10.228.76.35 d1-kdr-trudo19-1-p1 Трудовой Славы, д. 19/к.1
10.228.77.221 d1-kdr-sormo108-2-p2 Сормовская, д. 108/к.2
10.228.77.228 d1-kdr-sormo108-2-p3 Сормовская, д. 108/к.2
10.228.77.126 d1-kdr-sormo104 Сормовская, д. 104
10.228.77.123 qs1-kdr-sormo122-p2 Сормовская, д. 122
10.228.77.193 d1-kdr-sormo197-p2 Сормовская, д. 197
10.228.77.194 d2-kdr-sormo197-p2 Сормовская, д. 197
10.228.77.168 es1-kdr-sormo193-p2 Сормовская, д. 193
10.228.77.198 d1-kdr-sormo191-p2 Сормовская, д. 191
10.228.77.199 d2-kdr-sormo191-p2 Сормовская, д. 191
10.228.77.208 d3-kdr-sormo191-1-p3 Сормовская, д. 191/к.1
10.228.77.169 q1-kdr-sormo189-p5 Сормовская, д. 189
10.228.77.174 d1-kdr-sormo189-p2 Сормовская, д. 189
10.228.77.233 d2-kdr-sormo112-p5 Сормовская, д. 112
10.228.77.224 d1-kdr-sormo116-p3 Сормовская, д. 116
10.228.78.10 d1-kdr-sormo177-p3 Сормовская, д. 177
10.228.77.161 qs1-kdr-sormo204-p1 Сормовская, д. 204
10.228.77.162 qs2-kdr-sormo204-p1 Сормовская, д. 204
10.228.77.159 qs1-kdr-sormo204-p2 Сормовская, д. 204
10.228.77.152 qs2-kdr-sormo106 Сормовская, д. 106
10.228.64.156 qs2-kdr-soch25-p3 Сочинская, д. 25
10.228.64.160 qs1-kdr-soch23-p5 Сочинская, д. 23
